ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",496.99999999999994,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3340,0.00047013019368941707
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",406,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",6522,0.0009180206955815503
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",219.99999999999997,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",608,0.0000855805861566364
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",1565,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",12654,0.0017811459493849951
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",8209,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",373240,0.052536345357077255
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",4391.813406783125,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",145814,0.020524420378032534
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",3236.334346139163,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",62754,0.008833098854726251
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",1347,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",3360119,0.4829753620857357
0,"White Alone",1,"Hispanic or Latino",2016,"2016",10398,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1490630,0.2142595437798067
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",2679,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",1044365,0.15011449416662606
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",2065,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",19256,0.0027678107746549833
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",1076,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",18253,0.0026236419853436542
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",1416,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx",12106,0.0017400871020966568
